8859_1,,
Today,"hoy","Technical: String representing today (for convenient input).; "
Yesterday,"ayer","Technical: String representing yesterday (for convenient input).; "
Tomorrow,"mañana","Technical: String representing tomorrow (for convenient input).; "
YearRelativeFmt,"d/M","Technical: Must be a valid java.text.DateFormat format.; "
DefaultFmt,"EEE, d MMM, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
LongDefaultFmt,"EEE, d MMM, yyyy HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
TodayTimeFmt,"'Hoy', HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
TodayFmt,"'Hoy'","Technical: Must be a valid java.text.DateFormat format.; "
ConciseDateTimeFmt,"d/M/yyyy HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseDateTimeFmt,"dd/MM/yyyy HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
PaddedDateTimeFmt,"dd/MM/yyyy HH:mm:ss","Technical: Must be a valid java.text.DateFormat format.; "
PaddedPreciseDateTimeFmt,"dd/MM/yyyy HH:mm:ss:SSS","Technical: Must be a valid java.text.DateFormat format.; "
ConciseFmt,"d/M/yyyy","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseFmt,"dd/MM/yyyy","Technical: Must be a valid java.text.DateFormat format.; "
ExtraConciseFmt,"dd/MM/yy","Technical: Must be a valid java.text.DateFormat format.; "
DayDateMonthYearFmt,"EEE, dd MMMM, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
DateMonthYearFmt,"d MMMM, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearFmt,"d MMMM, yyyy 'a las' HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearTZFmt,"d MMMM, yyyy 'a las' HH:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearFmt,"EEEE, d MMMM, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearTZFmt,"EEEE, d MMMM, yyyy zzz","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearFmt,"EEEE, d MMMM, yyyy 'a las' HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearTZFmt,"EEEE, d MMMM, yyyy 'a las' HH:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
HoursMinutesSecondsFmt,"HH:mm:ss","Technical: Must be a valid java.text.DateFormat format.; "
DayOfWeekFmt,"EEE","Technical: Must be a valid java.text.DateFormat format.; "
FormatsSeparator,";","separator character for date format pattern lists; "
SystemFormats,"d-MMM-yyyy;d-MMM-yy;ddMMyyyy;d/M/yy;d/M/yyyy;d-M-yy;d-M-yyyy;EEE d MMM HH:m:s  yyyy;dd/MM/yyyy;EEE d MMM HH:m:s z yyyy","list of date formats to try when parsing any date string; "
UserFormats,"EEE, d MMM, yyyy;EEE, d MMM, yy;d/M/yyyy;d/M/yy","list of date formats to try when parsing user date strings; "
ReportingDateFmt,"d MMM yyyy","Date format for reporting."
HourMinuteSecond,"HH:mm:ss", "Technical: Must be a valid java.text.DateFormat format."
HourMinuteAMPM,"HH:mm", "e.g. 12:08 PM Technical: Must be a valid java.text.DateFormat format."
DayOfWeekStart,"0","Sunday:0 Monday:1 e.g., French calendar starts on Monday"
CalendarHeaderFmt,"MMM yyyy", "Header of calender shown in Date Chooser."
